latitude,longitude,num_ids,num_years
-37.8241666666667,142.070833333333,10,2
-37.785,142.1025,5,1
-34.48,145.95,4,1
-31.484,150.177,6,1
-29.7202777777778,-53.7052777777778,6,1
-27.5123611111111,151.781805555556,3,1
-27.2740416666667,-50.5040027777778,5,1
-26.9713333333333,152.390361111111,4,1
-26.1745,-52.6869166666667,33,1
-23.2,-52.1833333333333,6,2
-20.3666666666667,-51.3666666666667,14,3
-2.22333333333333,37.7371111111111,7053,4
5.43438888888889,37.8427777777778,1641,4
7.03647222222222,40.2272222222222,140,2
7.07225,40.2138611111111,864,1
7.10494444444444,39.2090555555556,15,1
7.52069444444444,39.2607777777778,15,1
8.01944444444445,39.1530555555556,6,1
8.02152777777778,39.1563888888889,89,2
8.76138888888889,39.0083888888889,75,1
8.77433333333333,38.1495833333333,15,1
9.74297222222222,39.4470555555556,60,1
9.79975,39.6780555555556,60,1
10.8289166666667,39.4719166666667,288,1
10.8564722222222,36.71725,192,1
12.6410555555556,39.701,449,3
20.7333333333333,-101.316666666667,4,1
23.3,77.4,9,2
26.6833333333333,92.8333333333333,8,1
27.0666666666667,84.9166666666667,14,2
27.33,-109.09,13500,3
27.3683333333333,-109.928027777778,718,10
27.5074722222222,-109.896694444444,14,14
27.6333333333333,86.15,7,1
27.65,84.3333333333333,21,3
28.0158055555556,1.66922222222222,144,1
28.5833333333333,77.2,6,1
28.6397222222222,77.1575,12,2
28.6666666666667,77.1833333333333,4,1
28.6666666666667,77.2,16,2
29.0641666666667,106.1895,12,2
29.83,-8.58,48,1
29.85,115.55,4,1
30.0166666666667,115.566666666667,4,1
30.0425,-9.55111111111111,48,1
30.1666666666667,77.6,10,1
30.3542777777778,112.150416666667,42,2
30.8936111111111,112.805,5,1
30.9052777777778,75.7858333333333,5,1
30.9333333333333,75.8666666666667,20,2
31.0166666666667,119.433333333333,6,1
31.1166666666667,119.516666666667,6,1
31.2,120.8,8,1
31.2666666666667,105.45,6,1
31.2666666666667,105.466666666667,22,5
31.2666666666667,119.9,23,2
31.4,119.683333333333,4,1
31.4,120.416666666667,5,1
31.4399166666667,73.0718333333333,24,2
31.45,120.416666666667,8,1
31.4625,120.4325,12,3
31.5,120.55,12,3
31.55,120.616666666667,6,1
31.5591666666667,120.707777777778,50,7
31.5902777777778,120.925,3,3
31.6658333333333,117.68,7,1
31.8166666666667,70.9166666666667,20,2
31.8666666666667,118.833333333333,9,3
31.95,118.983333333333,8,1
31.9666666666667,119.3,20,3
32.0,118.8,8,2
32.1,119.2,7,1
32.1666666666667,112.666666666667,8,2
32.2166666666667,116.616666666667,12,2
32.35,-8.85,96,2
32.4833333333333,118.6,4,1
32.5833333333333,119.7,4,1
32.5847222222222,119.7,9,3
32.81,-115.44,2960,2
32.8802777777778,117.560833333333,10,1
