,latitude,longitude,num_ids,num_years
0,-37.8241666666667,142.070833333333,10,2
1,-37.785,142.1025,5,1
2,-34.48,145.95,4,1
3,-31.484,150.177,6,1
4,-29.7202777777778,-53.7052777777778,6,1
5,-27.5123611111111,151.781805555556,3,1
6,-27.2740416666667,-50.5040027777778,5,1
7,-26.9713333333333,152.390361111111,4,1
8,-26.1745,-52.6869166666667,33,1
9,-23.2,-52.1833333333333,6,2
10,-20.3666666666667,-51.3666666666667,14,3
11,-2.22333333333333,37.7371111111111,7053,4
12,5.43438888888889,37.8427777777778,1641,4
13,7.03647222222222,40.2272222222222,140,2
14,7.07225,40.2138611111111,864,1
15,7.10494444444444,39.2090555555556,15,1
16,7.52069444444444,39.2607777777778,15,1
17,8.01944444444445,39.1530555555556,6,1
18,8.02152777777778,39.1563888888889,89,2
19,8.76138888888889,39.0083888888889,75,1
20,8.77433333333333,38.1495833333333,15,1
21,9.74297222222222,39.4470555555556,60,1
22,9.79975,39.6780555555556,60,1
23,10.8289166666667,39.4719166666667,288,1
24,10.8564722222222,36.71725,192,1
25,12.6410555555556,39.701,449,3
26,20.7333333333333,-101.316666666667,4,1
27,23.3,77.4,9,2
28,26.6833333333333,92.8333333333333,8,1
29,27.0666666666667,84.9166666666667,14,2
30,27.33,-109.09,13500,3
31,27.3683333333333,-109.928027777778,718,10
32,27.5074722222222,-109.896694444444,14,14
33,27.6333333333333,86.15,7,1
34,27.65,84.3333333333333,21,3
35,28.0158055555556,1.66922222222222,144,1
36,28.5833333333333,77.2,6,1
37,28.6397222222222,77.1575,12,2
38,28.6666666666667,77.1833333333333,4,1
39,28.6666666666667,77.2,16,2
40,29.0641666666667,106.1895,12,2
41,29.83,-8.58,48,1
42,29.85,115.55,4,1
43,30.0166666666667,115.566666666667,4,1
44,30.0425,-9.55111111111111,48,1
45,30.1666666666667,77.6,10,1
46,30.3542777777778,112.150416666667,42,2
47,30.8936111111111,112.805,5,1
48,30.9052777777778,75.7858333333333,5,1
49,30.9333333333333,75.8666666666667,20,2
50,31.0166666666667,119.433333333333,6,1
51,31.1166666666667,119.516666666667,6,1
52,31.2,120.8,8,1
53,31.2666666666667,105.45,6,1
54,31.2666666666667,105.466666666667,22,5
55,31.2666666666667,119.9,23,2
56,31.4,119.683333333333,4,1
57,31.4,120.416666666667,5,1
58,31.4399166666667,73.0718333333333,24,2
59,31.45,120.416666666667,8,1
60,31.4625,120.4325,12,3
61,31.5,120.55,12,3
62,31.55,120.616666666667,6,1
63,31.5591666666667,120.707777777778,50,7
64,31.5902777777778,120.925,3,3
65,31.6658333333333,117.68,7,1
66,31.8166666666667,70.9166666666667,20,2
67,31.8666666666667,118.833333333333,9,3
68,31.95,118.983333333333,8,1
69,31.9666666666667,119.3,20,3
70,32.0,118.8,8,2
71,32.1,119.2,7,1
72,32.1666666666667,112.666666666667,8,2
73,32.2166666666667,116.616666666667,12,2
74,32.35,-8.85,96,2
75,32.4833333333333,118.6,4,1
76,32.5833333333333,119.7,4,1
77,32.5847222222222,119.7,9,3
78,32.81,-115.44,2960,2
79,32.8802777777778,117.560833333333,10,1
80,32.9557222222222,-115.435972222222,342,8
81,33.16,-7.4,48,1
82,33.5675277777778,-6.63336111111111,96,2
83,33.74725,73.1379444444445,36,2
84,33.8121944444444,35.99175,40,1
85,34.01,71.7099722222222,5,1
86,34.0166666666667,71.55,8,1
87,34.0199722222222,71.4688888888889,8,1
88,34.0225,71.4680555555556,11,2
89,34.0666666666667,108.033333333333,5,1
90,34.15828,72.05398,12,1
91,34.2833333333333,108.0,4,1
92,34.2833333333333,108.066666666667,17,3
93,34.2836111111111,108.066944444444,30,4
94,34.2975,108.013333333333,32,5
95,34.3,116.883333333333,5,1
96,34.3333333333333,108.4,56,6
97,34.35,108.166666666667,8,2
98,34.3666666666667,108.433333333333,16,2
99,34.4666666666667,69.15,40,1
100,34.4666666666667,69.3,78,1
101,34.4738888888889,69.3,40,1
102,34.5,114.416666666667,6,1
103,34.5197222222222,-6.32361111111111,48,1
104,34.5333333333333,115.5,3,1
105,34.6005555555556,108.867222222222,16,2
106,34.9251666666667,110.709805555556,17,3
107,35.0,114.4,42,7
108,35.05,72.55,40,1
109,35.0666666666667,113.45,5,1
110,35.0988888888889,113.715833333333,4,1
111,35.1333333333333,113.75,18,2
112,35.2,107.666666666667,5,1
113,35.2,107.733333333333,6,2
114,35.37,-119.33,1640,1
115,35.38,-119.33,1640,1
116,35.4333333333333,113.983333333333,4,2
117,35.4488611111111,-119.163944444444,566,14
118,35.4666666666667,104.733333333333,33,3
119,35.5333333333333,113.65,57,3
120,35.6666666666667,116.683333333333,5,1
121,35.9833333333333,51.1,194,3
122,35.99,-119.59,1640,1
123,36.0833333333333,7.06666666666667,40,1
124,36.0911111111111,103.7,4,1
125,36.1476388888889,-119.737694444444,445,11
126,36.15,117.15,26,3
127,36.1833333333333,117.133333333333,5,1
128,36.2011111111111,116.901111111111,16,2
129,36.2166666666667,59.6666666666667,158,3
130,36.34,-120.11,8200,2
131,36.6333333333333,66.9333333333333,36,1
132,36.8166666666667,117.45,12,2
133,36.8333333333333,116.566666666667,18,1
134,36.85,117.833333333333,6,1
135,36.8638888888889,117.833333333333,5,1
136,36.8666666666667,115.166666666667,12,2
137,36.87,115.02,12,4
138,36.95,116.6,5,1
139,36.95,117.966666666667,9,2
140,36.95,117.983333333333,15,3
141,36.9625,117.986805555556,5,1
142,36.9666666666667,117.983333333333,27,4
143,37.3002777777778,120.580833333333,10,2
144,37.3538888888889,116.334166666667,4,1
145,37.4,46.2666666666667,36,1
146,37.6,116.35,16,4
147,37.6666666666667,117.066666666667,8,1
148,37.6833333333333,116.616666666667,26,2
149,37.6841666666667,116.600833333333,18,3
150,37.8333333333333,32.6666666666667,194,3
151,37.9166666666667,40.2,158,3
152,38.0166666666667,115.083333333333,5,1
153,38.0626944444444,-121.572361111111,516,13
154,38.14,-121.74,1640,1
155,38.15,-121.81,1394,1
156,38.15,-121.53,1476,1
157,38.4333333333333,-121.866666666667,10,2
158,38.52,-121.77,3280,1
159,38.5241666666667,-121.743944444444,563,14
160,38.54,-121.78,4756,1
161,38.6333333333333,103.083333333333,18,2
